Day,Lecture,Project
Day-9,https://youtu.be/jU0cndZziO0?feature=shared,https://youtu.be/ve2ZRPRXHpQ?feature=shared
Day-9,https://youtu.be/jU0cndZziO0?feature=shared,https://youtu.be/85ya9lA9asQ?feature=shared
Day-9,https://youtu.be/jU0cndZziO0?feature=shared,https://youtu.be/S63BPU_bcrU?feature=shared
Day-9,https://youtu.be/jU0cndZziO0?feature=shared,https://youtu.be/XR0qVaNNaAo?feature=shared
Day-10,https://youtu.be/0V8VTMol7Vc?feature=shared,https://youtu.be/--K5rQzXN3Y?feature=shared
Day-10,https://youtu.be/0V8VTMol7Vc?feature=shared,https://youtu.be/pNzaOGXm4To?feature=shared
Day-10,https://youtu.be/0V8VTMol7Vc?feature=shared,https://youtu.be/SOa9lUIcIZc?feature=shared
Day-10,https://youtu.be/0V8VTMol7Vc?feature=shared,https://youtu.be/cEfgjU5Zlu0?feature=shared
Day-10,https://youtu.be/0V8VTMol7Vc?feature=shared,https://youtu.be/JE2KrRkJLQc?feature=shared
Day-11,https://youtu.be/oTtIvV-Q1FY?feature=shared,https://youtu.be/IQgR1_OTFek?feature=shared
Day-11,https://youtu.be/oTtIvV-Q1FY?feature=shared,https://youtu.be/V9XGDk1oF3k?feature=shared
Day-11,https://youtu.be/oTtIvV-Q1FY?feature=shared,https://youtu.be/htftppOuB_U?feature=shared
Day-11,https://youtu.be/oTtIvV-Q1FY?feature=shared,https://youtu.be/lslXD_VU_Do?feature=shared
Day-12,https://youtu.be/Nsb3bLIlO4w?feature=shared,https://youtu.be/GRXrUuGAegE?feature=shared
Day-12,https://youtu.be/Nsb3bLIlO4w?feature=shared,https://youtu.be/QEWJ5dkDY4k?feature=shared
Day-14,https://youtu.be/bAwmZVJeO5s?feature=shared,https://youtu.be/2SSr-RVAwIg?feature=shared
Day-15,,https://youtu.be/jlgD-Ii070g?feature=shared
Day-15,,https://youtu.be/85ya9lA9asQ?feature=shared
Day-15,,https://youtu.be/Dn1EjhcQk64?feature=shared
